"COALINEA","NOALINEA"
"121555","Contribuição do Militar - Parcelamentos                               "
"231104","Amortização de Empréstimos - Refinanciamento de Dívidas de Médio e Lon"
"231101","Amortização de Empréstimos - BEA/BIB                                  "
"231105","Amortização de Empréstimos - Programa das Operações Oficiais de Crédit"
"231107","Amortização de Financiamentos                                         "
"112150","Taxa de Fiscalização de Vigilância Sanitária                          "
"113100","Contribuição de Melhoria                                              "
"113151","Contribuição de Melhoria para Expansão da Rede de Iluminação Pública n"
"121556","Contribuição do Militar Oriunda de Sentenças Judiciais                "
"112251","Taxas Extrajudiciais                                                  "
"171454","Transferências referentes ao Programa Nacional de Inclusão de Jovens -"
"241350","Transferências de Recursos do Fundo Nacional de Assistência Social ¿ F"
"241499","Outras Transferências de Convênios da União e de Suas Entidades       "
"171457","Transferências referentes ao  Programa Nacional de Saúde do Escolar - "
"171552","Transferências de Recursos de Complementação da União ao Fundeb - VAAR"
"121551","Contribuição Patronal - Parcelamentos                                 "
"111999","Outros Impostos                                                       "
"133305","Cessão do Direito de Exploração de Satélite Brasileiro                "
"164103","Remuneração sobre Repasse para Programas de Desenvolvimento Econômico "
"131101","Aluguéis, Arrendamentos, Foros, Laudêmios, Tarifas de Ocupação        "
"171951","Transferência Financeira do ICMS - Desoneração - L.C. Nº 87/96        "
"171351","Transferências de Recursos do Sistema Único de Saúde - SUS - Repasses "
"134300","Petróleo - Regime de Partilha de Produção                             "
"790000","Outras Receitas Correntes                                             "
"799000","Demais Receitas Correntes                                             "
"134502","Concessão de Uso do Potencial de Energia Hidráulica                   "
"171752","Transferências de Convênios da União Destinadas a Programas de Assistê"
"162104","Serviços Aeroportuários                                               "
"171600","Transferências de Recursos do Fundo Nacional de Assistência Social    "
"171200","Transferência da Compensação Financeira pela Exploração de Recursos Na"
"171251","Cota-parte da Compensação Financeira de Recursos Minerais - CFEM      "
"173000","Transferências dos Municípios e de suas Entidades                     "
"133303","Delegação dos Serviços de Radiodifusão Sonora e de Sons e Imagens     "
"135103","Royalties pela Exploração do Patrimônio Genético ou Conhecimento Tradi"
"163152","Serviços Radiológicos e Laboratoriais                                 "
"171300","Transferências de Recursos do Sistema Único de Saúde - SUS            "
"163153","Serviços Ambulatoriais                                                "
"141000","Receita Agropecuária                                                  "
"141101","Receita Agropecuária                                                  "
"171900","Outras Transferências de Recursos da União e de suas Entidades        "
"171952","Transferências da União a Consórcios Públicos                         "
"171953","Transferência de Recursos do Fundo Penitenciário Nacional - Fupen     "
"132101","Remuneração de Depósitos Bancários                                    "
"132104","Remuneração dos Recursos do Regime Próprio de Previdência Social - RPP"
"133400","Concessão para Prestação de Serviços de Energia Elétrica              "
"133306","Transferência da Delegação dos Serviços de Telecomunicações ou do Dire"
"171252","Cota-parte da Compensação Financeira pela Produção de Petróleo        "
"163100","Serviços de Atendimento à Saúde                                       "
"163151","Serviços de Registro, Análise e Controle da Saúde                     "
"134500","Exploração de Recursos Hídricos                                       "
"134501","Outorga de Direitos de Uso de Recursos Hídricos                       "
"134000","Exploração de Recursos Naturais                                       "
"111400","Impostos sobre a Produção, Circulação de Mercadorias e Serviços       "
"134100","Petróleo - Regime de Concessão                                        "
"134101","Outorga de Exploração e Produção de Petróleo e Gás Natural - Regime de"
"134401","Outorga de Direitos de Exploração e Pesquisa Mineral                  "
"134402","Compensação Financeira pela Exploração de Recursos Minerais           "
"133301","Delegação dos Serviços de Telecomunicação - Poder Concedente no Regime"
"172000","Transferências dos Estados e do Distrito Federal e de suas Entidades  "
"122000","Contribuições Econômicas                                              "
"133900","Demais Delegações de Serviços Públicos                                "
"112200","Taxas pela Prestação de Serviços                                      "
"112201","Taxas pela Prestação de Serviços                                      "
"133103","Delegação para a Prestação dos Serviços de Transporte Metroviário     "
"121100","Contribuição para Financiamento da Seguridade Social - COFINS         "
"133304","Cessão do Direito de Uso de Radiofrequência                           "
"711300","Impostos sobre a Renda e Proventos de Qualquer Natureza               "
"711302","Imposto sobre a Renda de Pessoa Jurídica - IRPJ - Líquida de Incentivo"
"712000","Taxas                                                                 "
"134104","Participação Especial pela Produção de Petróleo - Contrato de Concessã"
"134203","Royalties Excedentes pela Produção de Petróleo - Cessão Onerosa - Decl"
"113000","Contribuição de Melhoria                                              "
"121202","Contribuição para o PIS/PASEP - Contribuintes Optantes pelo Simples Na"
"133307","Concessão de Licenças e Autorizações da Agência Espacial Brasileira   "
"133999","Outras Delegações de Serviços Públicos                                "
"712201","Taxas pela Prestação de Serviços                                      "
"111302","Imposto sobre a Renda de Pessoa Jurídica - IRPJ - Líquida de Incentivo"
"133105","Delegação para a Prestação dos Serviços de Transporte Aeroviário      "
"134600","Exploração de Recursos Florestais                                     "
"111450","Impostos sobre a Produção, circulação de Mercadorias e Serviços       "
"710000","Impostos, Taxas e Contribuições de Melhoria - Intra                   "
"112801","Taxas de Inspeção, Controle e Fiscalização                            "
"111451","Imposto sobre Serviços                                                "
"113152","Contribuição de Melhoria para Expansão de Rede de Iluminação Pública R"
"121554","Contribuição Patronal - Militar - Parcelamentos                       "
"133104","Delegação para a Prestação dos Serviços de Transporte Aquaviário      "
"134200","Petróleo - Regime de Cessão Onerosa                                   "
"134202","Royalties Mínimos pela Produção de Petróleo - Cessão Onerosa - Declara"
"134103","Royalties Excedentes pela Produção de Petróleo - Contrato de Concessão"
"111300","Impostos sobre a Renda e Proventos de Qualquer Natureza               "
"111301","Imposto sobre a Renda de Pessoa Física - IRPF                         "
"121553","Contribuição Patronal - Militar                                       "
"121552","Contribuição dos Militares e Pensionistas para Previdência Militar de "
